category,topic,description,cloud terms
"Foundations, Communication & Design Thinking",Intro & Communication Foundations,"Intro & Communication Foundations is the foundational study and application of how humans exchange information, ideas, and feelings through verbal, non-verbal, and visual symbols to create shared understanding, with an introduction to UI/UX philosophy and digital communication.","UI/UX Philosophy, Communication Evolution, Non-Verbal Communication, Visual Communication, Symbols & Icons, Design Empathy"
"Foundations, Communication & Design Thinking","Internet, Web Infrastructure & Domains","Internet, Web Infrastructure & Domains is the study and application of basic web hosting models, domain name structure, DNS prefixes/extensions, professional emails, and machine-level binary logic.","Domain Names, Prefixes & Extensions, Shared Hosting, VPS Hosting, Dedicated Hosting, Professional Email, Binary Logic, AI-Assisted Design, Prompt-to-Prototype, Human Review"
"Foundations, Communication & Design Thinking",Branding Guidelines & Visual Identity,"Branding Guidelines & Visual Identity is the practice of brand consistency across touchpoints including logos, color palettes, typography rules, brand voice, and favicons.","Brand Identity, Logo Design, Color Palette, Typography Rules, Imagery & Photography, Voice & Tone, Favicon, Brand Guidelines"
"Foundations, Communication & Design Thinking",Image Formats & Graphic Optimization,"Image Formats & Graphic Optimization is the study and application of an examination of graphic types (JPEG, PNG, GIF, SVG, RAW, WebP, AVIF) and principles of image optimization for web performance.","JPEG vs PNG, SVG Vectors, Animated Formats (GIF, WebP, AVIF), Image Optimization, Rule of Thirds, Resolution & Compression, C2PA Content Credentials, Media Provenance"
"Foundations, Communication & Design Thinking",Information Architecture & Sitemaps,"Information Architecture & Sitemaps is the study and application of structuring of structuring digital content logically using XML sitemaps, navigation hierarchies, and content layout planning.","Information Architecture (IA), Navigation Hierarchy, XML Sitemap, Page Taxonomy, Content Structure, Site Mapping"
"Foundations, Communication & Design Thinking","UX Research, User Stories & Interaction Design","UX Research, User Stories & Interaction Design is the systematic study and evaluation of principles of user-centered research methods, user stories/scenarios, interaction design patterns, usability, and data flow diagrams.","User Research, User Scenarios & Stories, Interaction Design (IxD), Data Flow Diagrams (DFD), Utility & Ease of Use, UX Process, AI-Assisted Synthesis, Research Integrity, Human Review"
"Foundations, Communication & Design Thinking","Wireframing, Prototyping & UX Frameworks","Wireframing, Prototyping & UX Frameworks is a framework for understanding the principles of low-to-high fidelity wireframing, interactive prototyping, usability testing, and the Double Diamond design framework.","Low-Fi Wireframes, Interactive Prototypes, Double Diamond Framework, Usability Testing, Iterative Design, Design Sprints"
"Foundations, Communication & Design Thinking","UI Design, Layouts & Visual Principles","UI Design, Layouts & Visual Principles is a framework for understanding a walkthrough of core visual interface design principles including grid layouts, typography hierarchies, color theory, and visual hierarchy.","Visual Hierarchy, Grid Layouts, Typography Rules, Color Theory, UI Design Patterns, Graphic Design Principles, Adaptive Layouts, Dynamic Materials"
"Foundations, Communication & Design Thinking",Web Accessibility (WCAG) & Inclusivity,"Web Accessibility (WCAG) & Inclusivity is the study and application of an introduction to ethical and legal standards for web accessibility based on WCAG guidelines, transliteration, and inclusive design.","WCAG Guidelines, Web Accessibility, Inclusive Design, Contrast & Legibility, Screen Readers, Transliteration Tools, WCAG 2.2, Accessible Authentication, Focus Appearance"
"Foundations, Communication & Design Thinking",Responsive Web Design & AI Design Tools,"Responsive Web Design & AI Design Tools is the practice of principles of multi-device layout responsiveness along with modern AI-driven design tools (Creatie, Readdy, no-code/code workflows).","Responsive Design, Breakpoints, Multi-Device Layouts, AI Design Tools (Creatie, Readdy), No-Code Workflows, Prototyping Automation, AI-Assisted Design, Prompt-to-Prototype, Human Review"
